SupplierCompanyName,CompanyName,SupplierAddress,SupplierAddress2,SupplierCity,SupplierState,SupplierZip,SupplierPhone,SupplierWebSiteUrl,TermsOfServiceURL,SignUpNowURL,Price,RateType,IsIntroductoryOffer,IntroductoryOfferDetails,TermLength,EarlyTerminationFee,MonthlyFee,IsPromotionalOffer,PromotionalOfferDetails,OfferDetails,_Key,_Supplier,_Rate,_Term,_ETF
AEP Energy Inc,AEP Energy Inc,1 Riverside Plaza,AEP HQ Building 20th floor,Columbus,OH,43215,(866) 935-5541,https://www.aepenergy.com/small-business/request-a-sbs-quote?utm_source=A2A&utm_medium=COH-Gas&utm_campaign=SmallBusinessShopping&utm_term=12mos,https://www.aepenergy.com/small-business/request-a-sbs-quote?utm_source=A2A&utm_medium=COH-Gas&utm_campaign=SmallBusinessShopping&utm_term=12mos,https://www.aepenergy.com/small-business/request-a-sbs-quote?utm_source=A2A&utm_medium=COH-Gas&utm_campaign=SmallBusinessShopping&utm_term=12mos,0.617,Fixed,No,,12,25,0,No,,This offer is limited to small business customers of Columbia Gas only.  This rate is only available over the phone.  Please call us at 1-877-648-1936 to sign up today!,HK::104af16affe8f1b874ecb86b0b108ea90b962119,AEP Energy Inc,0.617,12,25
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/list-plans/?rateClassCode=04&ldcCode=COH,https://www.ohionaturalgas.com/list-plans/?rateClassCode=04&ldcCode=COH,0.669,Variable,No,,1,0,0,No,,Commercial customers only. Variable prices may change or remain the same each month. The  November 2025 variable rate is 0.66900/Ccf.,HK::6ef3592921627f08f9bff96a2835f24516e0553a,Ohio Natural Gas,0.669,1,0
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Suite 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/terms-of-service/,https://mercuryenergyohio.com/plans/,0.618,Fixed,No,,12,0,0,No,,,HK::5b8c33d01b889e5f6aa465b338411913fc44eb64,Mercury Energy Marketing LLC,0.618,12,0
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,www.directenergy.com,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://www.directenergy.com/en/business/small-business,0.729,Fixed,No,,12,0,0,No,,New Customers Only,HK::a5ed6597690cf401e428d20fb2462420e597a9b7,Direct Energy Services LLC,0.729,12,0
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Ste. 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/col/small-business/,https://mercuryenergyohio.com/plans/col/small-business/,0.618,Fixed,No,,12,0,0,No,,,HK::983b5218a19b296ac91af543cc2b8803a7816ba2,Mercury Energy Marketing LLC,0.618,12,0
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,www.directenergy.com,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://www.directenergy.com/en/business/small-business,0.767,Fixed,No,,48,0,0,No,,New Customers Only,HK::a5ed6597690cf401e428d20fb2462420e597a9b7,Direct Energy Services LLC,0.767,48,0
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,www.directenergy.com,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://www.directenergy.com/en/business/small-business,0.767,Fixed,No,,36,0,0,No,,New Customers Only,HK::a5ed6597690cf401e428d20fb2462420e597a9b7,Direct Energy Services LLC,0.767,36,0
Constellation NewEnergy-Gas Division LLC,Constellation NewEnergy-Gas Division LLC,1001 Louisiana Street Ste 23,,Houston,TX,77002,(855) 585-3935,https://www.constellation.com/solutions/for-your-small-business.html,https://www.constellation.com/solutions/for-your-small-business.html,https://www.constellation.com/solutions/for-your-small-business.html,0.6909,Fixed,No,,24,150,0,No,,This offer is limited to small business customers of Columbia Gas of Ohio.  This rate is only available over the phone. Please call us at 855-585-3935 to enroll.,HK::b2213a62f8ede99d308af22fa86779f4638517d2,Constellation NewEnergy-Gas Division LLC,0.6909,24,150
American Power & Gas of Ohio  LLC,American Power & Gas of Ohio  LLC,10601 S Belcher Rd,,Seminole,FL,33777,(888) 669-2365,https://americanpowerandgas.com/?page=2,https://www.americanpowerandgas.com/wp-content/uploads/2021/11/OH_Variable_Gas_Agreement_2021-08-20.pdf,https://americanpowerandgas.com/?page=2,0.519,Variable,Yes,Price is set for first month and variable thereafter.,24,0,0,Yes,Our 25% rebate is available to all of our customers.   We have sent out over $2 400 000 in rebates. Are you getting one?,Our famous 25% rebate is available to all our customers.   We have sent out over $2 400 000 in rebates this year! Are you getting one?,HK::724591934636276f0569a16bfa8f56dc7eb7b7a4,American Power & Gas of Ohio  LLC,0.519,24,0
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=3175C610-99BE-477C-9D65-26EDC6998A68&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=8DFD9EA2-2127-47C0-B059-A05567DEB78B&RFID=PUCO&PUC=2&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=3175C610-99BE-477C-9D65-26EDC6998A68&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=8DFD9EA2-2127-47C0-B059-A05567DEB78B&RFID=PUCO&PUC=2&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,0.699,Fixed,No,,48,0,0,No,,Get peace of mind with a fixed rate for 48 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,HK::b465d03ec317fc57312d18b3d4b08b72b9ccb1af,Ohio Gas & Electric,0.699,48,0
