SupplierCompanyName,CompanyName,SupplierAddress,SupplierAddress2,SupplierCity,SupplierState,SupplierZip,SupplierPhone,SupplierWebSiteUrl,TermsOfServiceURL,SignUpNowURL,Price,RateType,IsIntroductoryOffer,IntroductoryOfferDetails,TermLength,EarlyTerminationFee,MonthlyFee,IsPromotionalOffer,PromotionalOfferDetails,OfferDetails,_Key,_Supplier,_Rate,_Term,_ETF
Just Energy,Just Energy Solutions Inc,5251 Westheimer Rd,Suite 1000,Houston,TX,77056,(866) 239-5107,https://justenergy.com/ohapplestoapples/,https://doc-service-prd-webapp01.azurewebsites.net/files/US.OH/TOS/OH_PRICE_GUARD_PLAN_TnC_ENG_V01_AUG_16_2023.pdf,https://justenergy.com/ohapplestoapples/,0.569,Fixed,No,,36,50,19.99,Yes,Secure your rate with our offer. It guarantees your monthly energy rate will always be the same throughout the term of your agreement  and there is no cost to sign up. For New Customers Only.,Enjoy rate reliability with our fixed-price energy plan. For New Customers Only.,HK::1cd47c4866ad11a74f859c6c85d01fea1aebba3d,Just Energy,0.569,36,50
SFE Energy Ohio  Inc,SFE Energy Ohio  Inc,PO BOX 967,,Buffalo,NY,14240-0967,(866) 255-3844,https://www.sfeenergy.com/,https://www.sfeenergy.com/wp-content/uploads/2025/09/TC_OH_RESI_PLD003_03_OCT_22.pdf,https://signup.sfeenergy.com/,0.399,Fixed,No,,3,7.5,20.99,Yes,Receive 4 FREE LED bulbs after 2 months (60 calendar days) of consecutive flow with the company.,Online offer only and this offer is exclusively available to new customers. To enroll  please visit our sign-up page at https://signup.sfeenergy.com/ or call us at 1-866-255-3844.   SFE Energy will also plant 1 complimentary tree on your behalf. SFE Energy will purchase carbon emissions credits to offset 1.5 tonnes per 1 000 Ccf of the natural gas carbon footprint from your household usage  which is equivalent to 25% carbon emissions reduction. An early cancellation fee of $7.50 plus applicable taxes for each month or partial month remaining on the natural gas supply service Agreement Term will apply if the Agreement is terminated prior to the end of the Term selected. You may pay a daily customer charge in the amount of $0.69  which includes commodity related charges to provide you with your natural gas supply service.,HK::13eafdd91ddbba8614adad53b679cf46aaebc61f,SFE Energy Ohio  Inc,0.399,3,7.5
XOOM Energy Ohio LLC,XOOM Energy Ohio LLC,804 Carnegie Center,,Princeton,NJ,08540,(888) 997-8979,http://xoomenergy.com/en,https://xoomenergy.com/uploads/rates/terms-email/368960-en.pdf,http://xoomenergy.com/en/residential/?des=oh&deu=30&utm_source=puco&utm_medium=signuplink&utm_campaign=colohio,0.689,Fixed,No,,12,110,0,No,,XOOM Energy's SureLock 12 fixed plan,HK::7e2d01812d5bab30a952d233d736f531330d0c7f,XOOM Energy Ohio LLC,0.689,12,110
South Bay Energy Corp.,South Bay Energy Corp.,54 State Street Suite 804 #7818,,Albany,OH,12207,(877) 724-9010,www.southbayenergy.com,https://southbayenergy.com/t%26c,http://www.southbayenergy.com,0.5923,Variable,No,,1,0,0,No,,,HK::2c72f1696f78734987d34be4656e8afec2622589,South Bay Energy Corp.,0.5923,1,0
Kiwi Energy NY LLC,Kiwi Energy NY LLC,144 N 7th Street  #417,,Brooklyn,NY,11211,(877) 208-7636,www.kiwienergy.us,www.kiwienergy.us,www.kiwienergy.us,0.699,Variable,Yes,Price is set for first month and variable thereafter.,36,0,0,Yes,Kiwi offers customers  membership to the Spring Loyalty Program. Earn Cash Back or redeem Spring Rewards.,Zero Gas 50 is a month-to-month variable rate product for 36 months  matches 50% of usage with Carbon Offsets and no cancellation fees. Customers receive $100 in Ecogold Rewards Dollars each month. No guaranteed savings  your rate may go up or down each month and may be higher than utility. See terms and conditions for more details.,HK::9da23ed320aa2b336e6783e2bf3b4620df4357d7,Kiwi Energy NY LLC,0.699,36,0
Provision,Energy 95 LLC,P.O. Box 6036,,Austin,TX,78762,(800) 930-5427,https://provisionpg.com/,https://www.getprovision.com/wp-content/uploads/2025/11/1991.pdf,https://www.getprovision.com/enroll-step-2/?utility=COH,0.675,Variable,Yes,$0.675/Ccf first month  then monthly variable rate,1,0,0,Yes,$0.675/Ccf first month  then monthly variable rate,$0.675/Ccf first month  then monthly variable rate,HK::6a245e06247c7606ffb03122921fe8a652233e7e,Provision,0.675,1,0
South Bay Energy Corp.,South Bay Energy Corp.,54 State Street Suite 804 #7818,,Albany,OH,12207,(877) 724-9010,www.southbayenergy.com,https://southbayenergy.com/t%26c,http://www.southbayenergy.com,0.5923,Variable,No,,1,0,0,No,,,HK::2c72f1696f78734987d34be4656e8afec2622589,South Bay Energy Corp.,0.5923,1,0
Utility Gas and Power,LE Energy LLC,2680 Corporate Park Dr,Ste 100,Opelika,AL,36801,(855) 747-4931,www.utilitygasandpower.com,https://www.utilitygasandpower.com/gas-tc,https://www.utilitygasandpower.com/enroll?referral=a2a&rate=6.99-12mos,0.699,Fixed,No,,12,150,0,No,,Guaranteed fixed rate with price protection!,HK::fc1fc8f2a02cf66ba7dddac8e3c8faeca6fceb67,Utility Gas and Power,0.699,12,150
Santanna Energy Services,Santanna Natural Gas Corporation,300 E Business Way  Suite 200,,Cincinnati,OH,45241,(866) 325-0225,https://santannaenergyservices.com/offers/?utm_source=energychoice.ohio.gov&utm_medium=referral&utm_campaign=company-url&utm_content=gas&strategyGuid=30ce3c13-a301-46a6-82fe-22c7a16589d3,https://santannaenergyservices.com/wp-content/uploads/2024/04/SES_WP_TermsConditions_MM_G_OH_Static_A2A.pdf,https://santannaenergyservices.com/offers/?strategyGuid=30ce3c13-a301-46a6-82fe-22c7a16589d3&utm_source=energychoice.ohio.gov&utm_medium=referral&utm_campaign=FIX_12M_T1_COHOHG&utm_content=gas,0.5448,Fixed,No,,12,100,0,Yes,Enter gift card and tech giveaways with Santanna Rewards! THIS PRODUCT IS ONLY AVAILABLE FOR NEW CUSTOMERS WHO BUNDLE GAS & ELECTRIC. Visit company URL or call us directly to see electric price and enroll in this bundled product.,Fixed Price 12-month initial term. ONLY AVAILABLE TO NEW CUSTOMERS WHO BUNDLE GAS & ELECTRIC. Visit company URL or call us directly to see electric price and enroll in this bundled product.,HK::7102884c69702e303590d17a22e7e03d1905e1a6,Santanna Energy Services,0.5448,12,100
IGS Energy,Interstate Gas Supply LLC,6100 Emerald Parkway,,Dublin,OH,43016,(800) 280-4474,www.igsenergy.com,https://www.igs.com/signup,https://igs.com/signup/?campaignCode=Web-ApplesToApples&utm_campaign=referral-applestoapples-general&utm_source=applestoapples&utm_medium=referral,0.979,Fixed,No,,24,149,0,No,,Contribute to a brighter future by choosing this environmentally conscious product for your home. Our 100% Carbon Neutral Fixed Rate provides you with stability and predictability for the entire term length.,HK::ac6b0be1bb25d34f830558038e07e65c2b774824,IGS Energy,0.979,24,149
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,STE 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/columbia-gas-ohio-res/,https://mercuryenergyohio.com/columbia-gas-ohio-res/,0.618,Fixed,No,,12,0,0,No,,$0 Termination Fees,HK::660cd8da349881477c53a505ef476037d1465315,Mercury Energy Marketing LLC,0.618,12,0
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=8D43A666-E0B4-4A42-91F9-734729FFA1B7&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=20325620-F7C1-4237-8B09-5726C800FB9C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=8D43A666-E0B4-4A42-91F9-734729FFA1B7&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=20325620-F7C1-4237-8B09-5726C800FB9C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,0.629,Variable,No,,0,0,0,No,,Enjoy a no-commitment plan + $50 monthly Reward Dollars. Must have an active account. Special offer for new  online customers.,HK::9924470e04e122c898bd50d307d13e8d56fe7445,Ohio Gas & Electric,0.629,0,0
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=COH,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=COH,0.699,Variable,No,,1,0,0,No,,New residential customers only. Variable prices may change or remain the same each month. The November 2025 variable rate is 0.69900/Ccf.,HK::6ef3592921627f08f9bff96a2835f24516e0553a,Ohio Natural Gas,0.699,1,0
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/applecoh,https://www.ohionaturalgas.com/applecoh,0.619,Fixed,No,,12,12.5,0,Yes,Price offer includes a $50 digital Visa Reward Card! (Promo Code APPLECOH),Mention Promo Code APPLECOH.,HK::b25c4db4148ec87a24c534844dda3ac46f07f793,Ohio Natural Gas,0.619,12,12.5
My Choice Energy LLC,Foster Energy Services LLC,470 Olde Worthington Road,,Columbus,OH,43082,(888) 505-9104,www.fostermychoice.com,www.fostermychoice.com,www.fostermychoice.com,0.759,Fixed,No,,24,10,0,No,,,HK::218d673b6396cf8f257cdd06a6cf1f39ff1eba08,My Choice Energy LLC,0.759,24,10
Symmetry Energy Solutions LLC,Symmetry Energy Solutions LLC,PO BOX 802467,,Houston,TX,77280,(888) 200-3788,http://www.symmetryenergy.com/choice,http://www.symmetryenergy.com/choice,https://symmetryenergy.com/enroll/,0.699,Fixed,No,,12,0,0,Yes,Symmetry Rewards 12,Looking for a product that provides rate security and stability? Then choose the Symmetry Fixed Price product. With the Symmetry Fixed Price product your natural gas commodity rate will not change for the term of your contract. You can enjoy peace of mind knowing exactly what your natural gas rate will be regardless of any increasing costs of natural gas in the market,HK::3a0f668368a5a93b4699c7be9c223273951d08fd,Symmetry Energy Solutions LLC,0.699,12,0
Symmetry Energy Solutions LLC,Symmetry Energy Solutions LLC,PO BOX 802467,,Houston,TX,77280,(888) 200-3788,http://www.symmetryenergy.com/choice,http://www.symmetryenergy.com/choice,https://symmetryenergy.com/enroll/,0.599,Variable,No,,12,0,0,No,,Current Managed Price rate is $0.59900 per Ccf for November 2025. This rate may or may not be the monthly rate you pay based on your service start date on this plan. The rate may remain the same or may change monthly. See contract.,HK::74e8e4f17b9f8420adbe6a9821f0369902c45120,Symmetry Energy Solutions LLC,0.599,12,0
