SupplierCompanyName,CompanyName,SupplierAddress,SupplierAddress2,SupplierCity,SupplierState,SupplierZip,SupplierPhone,SupplierWebSiteUrl,TermsOfServiceURL,SignUpNowURL,Price,RateType,IsIntroductoryOffer,IntroductoryOfferDetails,TermLength,EarlyTerminationFee,MonthlyFee,IsPromotionalOffer,PromotionalOfferDetails,OfferDetails,_Key,_Supplier,_Rate,_Term,_ETF
Snyder Brothers Energy Marketing LLC,Snyder Brothers Energy Marketing LLC,P.O. Box 1022,1 Glade Park East,Kittanning,PA,16201,(800) 394-8101,www.snyderbrothersinc.com,www.snyderbrothersinc.com,http://www.snyderbrothersinc.com/contact.html,5.45,Variable,No,5.45,1,0,0,No,Monthly Variable Rate,Monthly MVR Rate,HK::8c9220fc09a5c0fc165b2880665241882ea7e991,Snyder Brothers Energy Marketing LLC,5.45,1,0
AEP Energy Inc,AEP Energy Inc,1 Riverside Plaza,AEP HQ Building 20th floor,Columbus,OH,43215,(866) 935-5541,https://www.aepenergy.com/small-business/request-a-sbs-quote?utm_source=A2A&utm_medium=DEO-Gas&utm_campaign=SmallBusinessShopping&utm_term=12mos,https://www.aepenergy.com/small-business/request-a-sbs-quote?utm_source=A2A&utm_medium=DEO-Gas&utm_campaign=SmallBusinessShopping&utm_term=12mos,https://www.aepenergy.com/small-business/request-a-sbs-quote?utm_source=A2A&utm_medium=DEO-Gas&utm_campaign=SmallBusinessShopping&utm_term=12mos,5.19,Fixed,No,,12,25,0,No,,This offer is limited to small business customers of Enbridge Ohio only.  This rate is only available over the phone.  Please call us at 1-877-648-1936 to sign up today!,HK::104af16affe8f1b874ecb86b0b108ea90b962119,AEP Energy Inc,5.19,12,25
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,www.directenergy.com,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://www.directenergy.com/en/business/small-business,6.09,Fixed,No,,48,0,0,No,,New Customers Only,HK::a5ed6597690cf401e428d20fb2462420e597a9b7,Direct Energy Services LLC,6.09,48,0
Eastern Power and Gas LLC,Eastern Power and Gas LLC,20801 Biscayne Blvd suite 403,,Miami,FL,33180,(877) 799-3637,Easternpng.com,https://easternpng.com/energy-ratings/puco-approved-ohio-docs/Ohio_Energy_Ratings_FR_Contract_Terms_and_Conditions.pdf,https://easternpng.com/interactions/check-eligibility/,4.3,Variable,No,,1,0,0,No,,$4.30 per MCF for the first month which is subject to change on a month to month basis.,HK::f6652f4e6b2044df7fcad0dcb29663e582321964,Eastern Power and Gas LLC,4.3,1,0
nTherm  LLC,nTherm  LLC,1321 Upland Dr #19675,,Houston,TX,77043,(888) 865-3402,www.ntherm.com,https://www.ntherm.com/sites/default/files/2023-12/oh_gas_tos.pdf,www ntherm.com,3.19,Variable,Yes,20% rebate on the average months energy supply cost after 12 consecutive months with nTherm  llc as the Competitive Retail Natural Gas Supplier,1,0,0,No,,Month to Month Variable,HK::d30f87085d210717f882a0b6a87564043df0607d,nTherm  LLC,3.19,1,0
Provision,Energy 95 LLC,P.O. Box 6036,,Austin,TX,78762,(800) 930-5427,https://provisionpg.com/,https://www.getprovision.com/wp-content/uploads/2025/05/080-1.pdf,https://www.getprovision.com/enroll-step-2/?utility=DEO,5.45,Variable,No,$5.45/Mcf first month  then monthly variable rate,1,0,0,No,,$5.45/Mcf first month  then monthly variable rate,HK::be7d7e40816cbf0aa5706ea1a0bb5c9c9eb7f53c,Provision,5.45,1,0
BTY Energy LLC,Better Than Yesterday Capital Management,311 Elm Street Suite 270,,Cincinnati,OH,45202,(800) 997-9217,https://btyenergy.com/,https://btyenergy.com,https://btyenergy.com,6.5,Fixed,No,,12,0,0,No,,,HK::00cc0c7a7e35e13e8d7df94bc762a02fd0e67367,BTY Energy LLC,6.5,12,0
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,ohionaturalgas.com,ohionaturalgas.com,5.97,Variable,No,,1,0,0,No,,Ohio Natural Gas's Monthly MRR Rate. Variable prices may change or remain the same each month.,HK::9ff727e1f4960eaa961277bc867ebeb5cffe03e8,Ohio Natural Gas,5.97,1,0
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Suite 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/terms-of-service/,https://mercuryenergyohio.com/plans/,4.68,Fixed,No,,36,0,0,No,,,HK::5b8c33d01b889e5f6aa465b338411913fc44eb64,Mercury Energy Marketing LLC,4.68,36,0
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=AB7CEC44-F355-4531-B16E-0729606BB64B&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=FF727EDA-27C5-4187-9B36-D7566A897732&RFID=PUCO&PUC=2&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=AB7CEC44-F355-4531-B16E-0729606BB64B&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=FF727EDA-27C5-4187-9B36-D7566A897732&RFID=PUCO&PUC=2&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,4.89,Fixed,No,,48,0,0,No,,Get peace of mind with a fixed rate for 48 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,HK::b465d03ec317fc57312d18b3d4b08b72b9ccb1af,Ohio Gas & Electric,4.89,48,0
