SupplierCompanyName,CompanyName,SupplierAddress,SupplierAddress2,SupplierCity,SupplierState,SupplierZip,SupplierPhone,SupplierWebSiteUrl,TermsOfServiceURL,SignUpNowURL,Price,RateType,IsIntroductoryOffer,IntroductoryOfferDetails,TermLength,EarlyTerminationFee,MonthlyFee,IsPromotionalOffer,PromotionalOfferDetails,OfferDetails,_Key,_Supplier,_Rate,_Term,_ETF
Kratos Gas & Power,United Energy Trading LLC,225 Union Boulevard,,Lakewood,OH,80228,(800) 296-2203,www.ohio.kratosgp.com,www.ohio.kratosgp.com,www.ohio.kratosgp.com,6.85,Variable,No,,12,0,0,No,,Standard month-to-month variable rate.  No cancellation fees.,HK::80530ebcdc6f28533e4543445079023439b57210,Kratos Gas & Power,6.85,12,0
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,STE 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/terms-of-service/,https://mercuryenergyohio.com/plans/,9.98,Fixed,No,,120,0,0,No,,'Forever Gas!' Sign up for 'Forever Gas' and never worry about gas shopping again! Want out? No termination fees!,HK::5b8c33d01b889e5f6aa465b338411913fc44eb64,Mercury Energy Marketing LLC,9.98,120,0
Eastern Power and Gas LLC,Eastern Power and Gas LLC,20801 Biscayne Blvd suite 403,,Miami,FL,33180,(877) 799-3637,Easternpng.com,https://easternpng.com/energy-ratings/puco-approved-ohio-docs/Ohio_Energy_Ratings_FR_Contract_Terms_and_Conditions.pdf,https://easternpng.com/interactions/check-eligibility/,4.6,Fixed,No,,24,0,0,No,,$4.60 per MCF for the first 24 months  then a monthly variable rate,HK::f1e0a3a86e4625a1575286b4f932d0a6ea0d8572,Eastern Power and Gas LLC,4.6,24,0
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,https://www.ohionaturalgas.com/green/,https://www.ohionaturalgas.com/list-plans/?GL=true,https://www.ohionaturalgas.com/list-plans/?GL=true,8.99,Variable,No,,1,0,0,No,Offset your Carbon Footprint by making your gas usage Carbon Neutral. Sign up with Greener Life from Ohio Natural Gas today!,Sign up with Greener Life from Ohio Natural Gas today. Variable prices may change or remain the same each month. The January 2026 variable rate is 8.9900/Mcf.,HK::6ef3592921627f08f9bff96a2835f24516e0553a,Ohio Natural Gas,8.99,1,0
Constellation NewEnergy-Gas Division LLC,Constellation NewEnergy-Gas Division LLC,1001 Louisiana Street Ste 23,,Houston,OH,77002,(855) 465-1244,http://www.constellation.com/rateboard,https://www.constellation.com/bin/residential/GetPlanContractPDF?planId=651,https://www.constellation.com/campaigns/rateboard.html?utm_source=energychoice.ohio.gov&utm_medium=referral,5.49,Fixed,No,,6,150,0,No,,,HK::9129b44459f0f208bf04821dc98147d938cbe12d,Constellation NewEnergy-Gas Division LLC,5.49,6,150
Barracuda Energy LLC,Barracuda Energy LLC,100 E Campus,,Columbus,OH,43235,(833) 628-4278,www.barracudagas.com,https://barracudagas.com/,https://barracudagas.com/,6.25,Fixed,No,,6,0,0,No,,,HK::55e15396d715cb02e7fab700afbe8f8e2a2e8f02,Barracuda Energy LLC,6.25,6,0
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,www.directenergy.com,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://shop.directenergy.com/usn/gas-state-fixed?msid=5360,5.39,Fixed,No,,11,0,0,No,,New Customers Only,HK::d683654e28851dbf0e370b89a788592703f157e2,Direct Energy Services LLC,5.39,11,0
Symmetry Energy Solutions LLC,Symmetry Energy Solutions LLC,PO BOX 802467,,Houston,TX,77280,(888) 200-3788,http://www.symmetryenergy.com/choice,http://www.symmetryenergy.com/choice,https://symmetryenergy.com/enroll/,5.39,Variable,No,,1,0,0,No,,Monthly Variable Rate Plan - MVR Customers Only,HK::74e8e4f17b9f8420adbe6a9821f0369902c45120,Symmetry Energy Solutions LLC,5.39,1,0
Just Energy,Just Energy Solutions Inc,5251 Westheimer Rd,Suite 1000,Houston,OH,77056,(866) 239-5107,https://justenergy.com/ohapplestoapples/,https://doc-service-prd-webapp01.azurewebsites.net/files/US.OH/TOS/OH_SVC_DUAL_FP_IPAD_ENG_V11_JUL_10_20.pdf,https://justenergy.com/ohapplestoapples/,6.59,Fixed,No,,36,50,0,Yes,Secure your rate with our offer. It guarantees your monthly energy rate will always be the same throughout the term of your agreement  and there is no cost to sign up. For New Customers Only.,Enjoy rate reliability with our fixed-price energy plan. For New Customers Only.,HK::9d75a17cb0308ed8402c9f3a41ac88738facea92,Just Energy,6.59,36,50
Shipley Choice  LLC,Shipley Choice  LLC,415 Norway St,,York,PA,17403,(866) 573-4853,http://www.shipleyenergy.com,https://enroll.shipleyenergy.com,https://www.shipleyenergy.com/enrollment?product=ng,4.99,Fixed,No,,12,0,0,No,,Shopping for Natural Gas Supply just got EASY! No monthly fee  no cancellation fee  and best of all a LOW fixed price to take control of your energy costs. Plus earn 3% REWARDS with Shipley Energy's Rewards Program. For New Customers Only.,HK::b8bfbbd2ccba74f85297603c8aec35e153d7528a,Shipley Choice  LLC,4.99,12,0
