SupplierCompanyName,CompanyName,SupplierAddress,SupplierAddress2,SupplierCity,SupplierState,SupplierZip,SupplierPhone,SupplierWebSiteUrl,TermsOfServiceURL,SignUpNowURL,Price,RateType,IsIntroductoryOffer,IntroductoryOfferDetails,TermLength,EarlyTerminationFee,MonthlyFee,IsPromotionalOffer,PromotionalOfferDetails,OfferDetails,_Key,_Supplier,_Rate,_Term
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=F84DF074-7A09-4958-923D-2B91D9641FA1&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=F84DF074-7A09-4958-923D-2B91D9641FA1&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,4.59,Fixed,No,,24,0,0,No,,Get peace of mind with a fixed rate for 24 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,HK::fca1e23afc7ef1a527837af75e0aefced317c06c,Ohio Gas & Electric,4.59,24
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=DEO,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=DEO,4.79,Variable,No,,1,0,0,No,,Variable prices may change or remain the same each month. The August 2025 variable rate is 4.7900/Mcf.,HK::822411ed1e22f2e826084d9e5a5c5fd1fef98e38,Ohio Natural Gas,4.79,1
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=DEO,https://www.ohionaturalgas.com/appledeo,4.37,Fixed,No,,12,12.5,0,Yes,Mention Promo Code APPLEDEO.,Mention Promo Code APPLEDEO.,HK::82c5fad67f02a13e892712b5f29ffe43caa3929a,Ohio Natural Gas,4.37,12
Shipley Choice  LLC,Shipley Choice  LLC,415 Norway St,,York,PA,17403,(866) 573-4853,http://www.shipleyenergy.com,https://enroll.shipleyenergy.com/enrollment/Step3,https://www.shipleyenergy.com/enrollment?product=ng,5.2,Variable,No,,1,0,0,No,,Variable term,HK::ecf883ed2a6ae26e07851e48db1c882631a06ec5,Shipley Choice  LLC,5.2,1
American Power & Gas of Ohio  LLC,American Power & Gas of Ohio  LLC,10601 S Belcher Rd,,Seminole,FL,33777,(888) 669-2365,https://americanpowerandgas.com/?page=2,https://www.americanpowerandgas.com/wp-content/uploads/2021/11/OH_Variable_Gas_Agreement_2021-08-20.pdf,https://americanpowerandgas.com/?page=2,2.99,Variable,Yes,Price is set for first month and variable thereafter.,24,0,0,Yes,Our 25% rebate is available to all of our customers.   We have sent out over $2 400 000 in rebates. Are you getting one?,Our famous 25% rebate is available to all our customers.   We have sent out over $2 400 000 in rebates this year! Are you getting one?,HK::41f03f3c4dc666a6a6b7584d5419149afca8577f,American Power & Gas of Ohio  LLC,2.99,24
Eastern Power and Gas LLC,Eastern Power and Gas LLC,20801 Biscayne Blvd suite 403,,Miami,FL,33180,(877) 799-3637,Easternpng.com,https://easternpng.com/energy-ratings/puco-approved-ohio-docs/Ohio_Energy_Ratings_FR_Contract_Terms_and_Conditions.pdf,https://easternpng.com/interactions/check-eligibility/,6.75,Fixed,No,,24,0,0,No,,$6.75 per MCF for the first 24 months  then a monthly variable rate,HK::c7b882ac79870dd0bc842330673f9d0118c0d813,Eastern Power and Gas LLC,6.75,24
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,https://www.ohionaturalgas.com/green/,https://www.ohionaturalgas.com/list-plans/?GL=true,https://www.ohionaturalgas.com/list-plans/?GL=true,5.39,Variable,No,,1,0,0,No,Offset your Carbon Footprint by making your gas usage Carbon Neutral. Sign up with Greener Life from Ohio Natural Gas today!,Sign up with Greener Life from Ohio Natural Gas today. Variable prices may change or remain the same each month. The August 2025 variable rate is 5.3900/Mcf.,HK::8cef8310bf7be9db06378420d0611584108f44eb,Ohio Natural Gas,5.39,1
Kratos Gas & Power,United Energy Trading LLC,225 Union Blvd.,Suite 200,Lakewood,CO,80228,(800) 296-2203,www.unitedenergytrading.com,www.kratosgp.com,https://ohio.kratosgp.com/,1.59,Variable,No,,1,0,0,Yes,Promo offer of $1.59/mcf for one month.  No cancellation fees.,Promo offer of $1.59/mcf for one month.  No cancellation fees.,HK::18c338d2ae02b4f9e9e76658726dc9eb13381f94,Kratos Gas & Power,1.59,1
Santanna Energy Services,Santanna Natural Gas Corporation,300 E Business Way  Suite 200,,Cincinnati,OH,45241,(866) 325-0225,https://santannaenergyservices.com/offers/?utm_source=energychoice.ohio.gov&utm_medium=referral&utm_campaign=company-url&utm_content=gas&strategyGuid=30ce3c13-a301-46a6-82fe-22c7a16589d3,https://santannaenergyservices.com/wp-content/uploads/2024/04/SES_WP_TermsConditions_MM_G_OH_Static_A2A.pdf,https://santannaenergyservices.com/offers/?strategyGuid=30ce3c13-a301-46a6-82fe-22c7a16589d3&utm_source=energychoice.ohio.gov&utm_medium=referral&utm_campaign=FIX_12M_T1_DEOOHG&utm_content=gas,4.09,Fixed,No,,12,100,0,Yes,Enter gift card and tech giveaways with Santanna Rewards! THIS PRODUCT IS ONLY AVAILABLE FOR NEW CUSTOMERS WHO BUNDLE GAS & ELECTRIC. Visit company URL or call us directly to see electric price and enroll in this bundled product.,Fixed Price 12-month initial term. ONLY AVAILABLE TO NEW CUSTOMERS WHO BUNDLE GAS & ELECTRIC. Visit company URL or call us directly to see electric price and enroll in this bundled product.,HK::8419b8c8e8a8b36e697d82be6339f28e632957ab,Santanna Energy Services,4.09,12
Symmetry Energy Solutions LLC,Symmetry Energy Solutions LLC,PO BOX 802467,,Houston,TX,77280,(888) 200-3788,http://www.symmetryenergy.com/choice,http://www.symmetryenergy.com/choice,https://symmetryenergy.com/enroll/,5.19,Variable,No,,12,0,0,No,,Current Managed Price rate is $5.19000 per Mcf for August 2025. This rate may or may not be the monthly rate you pay based on your service start date on this plan. The rate may remain the same or may change monthly. See contract.,HK::02219c7e677054c0bc7707e9fd2c8a3b17cd45a0,Symmetry Energy Solutions LLC,5.19,12
